Linux 5.13.0-30-generic (jubuntu) 	2022년 02월 28일 	_x86_64_	(24 CPU)

09시 41분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 41분 59초  all    5.03    0.00    1.26    0.08    0.00    0.00    0.00    0.00    0.00   93.63
09시 42분 00초  all    5.47    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   92.41
09시 42분 01초  all    4.88    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   94.74
09시 42분 02초  all    5.04    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   94.63
09시 42분 03초  all    4.94    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   94.19
09시 42분 04초  all    5.70    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   91.95
09시 42분 05초  all    6.21    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   92.54
09시 42분 06초  all    5.85    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   91.35
09시 42분 07초  all    6.02    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   91.51
09시 42분 08초  all    5.17    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   92.91
09시 42분 09초  all    1.54    0.00    2.63    0.29    0.00    0.00    0.00    0.00    0.00   95.54
09시 42분 10초  all    1.17    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   97.41
09시 42분 11초  all    1.13    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   97.49
09시 42분 12초  all    0.92    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   97.53
09시 42분 13초  all    1.34    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   97.49
09시 42분 14초  all    1.25    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   97.25
09시 42분 15초  all    1.17    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   97.20
09시 42분 16초  all    1.42    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   97.09
09시 42분 17초  all    1.17    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   97.37
09시 42분 18초  all    1.50    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   96.75
09시 42분 19초  all    1.29    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   97.25
09시 42분 20초  all    1.13    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   97.33
09시 42분 21초  all    1.84    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   96.61
09시 42분 22초  all    1.25    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   97.33
09시 42분 23초  all    1.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09시 42분 24초  all    1.25    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   97.28
09시 42분 25초  all    1.25    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   97.20
09시 42분 26초  all    0.79    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   97.82
09시 42분 27초  all    1.42    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   96.92
09시 42분 28초  all    1.17    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   97.37
Average:     all    2.66    0.00    1.56    0.01    0.00    0.00    0.00    0.00    0.00   95.77
