Linux 5.13.0-30-generic (jubuntu) 	2022년 02월 28일 	_x86_64_	(24 CPU)

09시 42분 28초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 42분 29초  all    7.27    0.00    2.52    0.17    0.00    0.00    0.00    0.00    0.00   90.04
09시 42분 30초  all    9.10    0.00    2.09    0.00    0.00    0.00    0.00    0.00    0.00   88.81
09시 42분 31초  all    8.93    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   90.61
09시 42분 32초  all    8.79    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   90.58
09시 42분 33초  all    8.76    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   90.69
09시 42분 34초  all    8.87    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   90.67
09시 42분 35초  all    9.09    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   90.58
09시 42분 36초  all    8.87    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   90.59
09시 42분 37초  all    8.91    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   90.59
09시 42분 38초  all    8.83    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   90.71
09시 42분 39초  all    2.50    0.00    2.04    3.21    0.00    0.08    0.00    0.00    0.00   92.17
09시 42분 40초  all    2.51    0.00    3.85    2.18    0.00    0.04    0.00    0.00    0.00   91.42
09시 42분 41초  all    1.83    0.00    2.79    0.00    0.00    0.25    0.00    0.00    0.00   95.12
09시 42분 42초  all    1.05    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   96.56
09시 42분 43초  all    2.51    0.00    2.18    0.04    0.00    0.00    0.00    0.00    0.00   95.27
09시 42분 44초  all    0.96    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   97.15
09시 42분 45초  all    1.09    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   97.02
09시 42분 46초  all    1.34    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   95.47
09시 42분 47초  all    2.09    0.00    2.72    0.00    0.00    0.00    0.00    0.00    0.00   95.19
09시 42분 48초  all    0.84    0.00    2.84    0.00    0.00    0.00    0.00    0.00    0.00   96.32
09시 42분 49초  all    1.04    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.95
09시 42분 50초  all    1.13    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   97.41
09시 42분 51초  all    0.92    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   97.95
09시 42분 52초  all    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
09시 42분 53초  all    1.00    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   98.41
09시 42분 54초  all    1.54    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.42
09시 42분 55초  all    1.34    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   96.27
09시 42분 56초  all    0.75    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   97.11
09시 42분 57초  all    0.79    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.92
09시 42분 58초  all    1.17    0.00    1.30    0.00    0.00    0.00    0.00    0.00    0.00   97.53
Average:     all    3.83    0.00    1.56    0.19    0.00    0.01    0.00    0.00    0.00   94.41
