Linux 5.13.0-30-generic (jubuntu) 	2022년 02월 28일 	_x86_64_	(24 CPU)

09시 42분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 43분 00초  all    9.26    0.00    3.34    0.42    0.00    0.00    0.00    0.00    0.00   86.98
09시 43분 01초  all   17.77    0.00    2.44    0.00    0.00    0.00    0.00    0.00    0.00   79.79
09시 43분 02초  all   17.45    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   80.13
09시 43분 03초  all   17.29    0.00    3.51    0.00    0.00    0.04    0.00    0.00    0.00   79.16
09시 43분 04초  all   17.28    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   80.25
09시 43분 05초  all   19.41    0.00    2.80    0.00    0.00    0.04    0.00    0.00    0.00   77.75
09시 43분 06초  all   17.30    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   81.15
09시 43분 07초  all   17.43    0.00    1.71    0.00    0.00    0.04    0.00    0.00    0.00   80.82
09시 43분 08초  all   18.50    0.00    2.51    0.00    0.00    0.08    0.00    0.00    0.00   78.91
09시 43분 09초  all   18.33    0.00    1.67    0.00    0.00    0.04    0.00    0.00    0.00   79.95
09시 43분 10초  all   12.29    0.00    1.29    1.96    0.00    0.00    0.00    0.00    0.00   84.46
09시 43분 11초  all    2.34    0.00    1.72    5.86    0.00    0.00    0.00    0.00    0.00   90.08
09시 43분 12초  all    2.68    0.00    2.73    8.60    0.00    0.04    0.00    0.00    0.00   85.95
09시 43분 13초  all    3.23    0.00    3.23    2.27    0.00    0.00    0.00    0.00    0.00   91.27
09시 43분 14초  all    3.35    0.00    1.93    0.00    0.00    0.00    0.00    0.00    0.00   94.72
09시 43분 15초  all    3.10    0.00    2.43    0.00    0.00    0.04    0.00    0.00    0.00   94.43
09시 43분 16초  all    0.80    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   97.69
09시 43분 17초  all    0.92    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.41
09시 43분 18초  all    0.75    0.00    0.42    0.04    0.00    0.00    0.00    0.00    0.00   98.79
09시 43분 19초  all    0.79    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   98.41
09시 43분 20초  all    0.63    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   98.20
09시 43분 21초  all    1.25    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   98.04
09시 43분 22초  all    1.88    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.46
09시 43분 23초  all    1.42    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.58
09시 43분 24초  all    1.13    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.74
09시 43분 25초  all    0.46    0.00    0.38    0.04    0.00    0.00    0.00    0.00    0.00   99.12
09시 43분 26초  all    0.46    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   97.83
09시 43분 27초  all    0.33    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   97.91
09시 43분 28초  all    0.13    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   99.41
09시 43분 29초  all    0.29    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.29
Average:     all    6.94    0.00    1.65    0.64    0.00    0.01    0.00    0.00    0.00   90.76
