Linux 5.13.0-30-generic (jubuntu) 	2022년 02월 28일 	_x86_64_	(24 CPU)

09시 44분 03초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 44분 04초  all    8.64    0.00    2.78    0.67    0.00    0.00    0.00    0.00    0.00   87.91
09시 44분 05초  all   20.64    0.00    4.74    1.47    0.00    0.04    0.00    0.00    0.00   73.11
09시 44분 06초  all   29.99    0.00    3.02    2.14    0.00    0.08    0.00    0.00    0.00   64.77
09시 44분 07초  all   35.88    0.00    3.52    2.31    0.00    0.29    0.00    0.00    0.00   58.01
09시 44분 08초  all   40.14    0.00    4.48    2.47    0.00    0.21    0.00    0.00    0.00   52.70
09시 44분 09초  all   44.38    0.00    4.40    2.85    0.00    0.42    0.00    0.00    0.00   47.94
09시 44분 10초  all   48.13    0.00    3.74    3.28    0.00    0.42    0.00    0.00    0.00   44.44
09시 44분 11초  all   52.75    0.00    4.71    2.75    0.00    0.29    0.00    0.00    0.00   39.50
09시 44분 12초  all   54.62    0.00    4.28    2.08    0.00    0.25    0.00    0.00    0.00   38.77
09시 44분 13초  all   56.02    0.00    3.01    3.26    0.00    0.50    0.00    0.00    0.00   37.21
09시 44분 14초  all   55.49    0.00    3.08    3.16    0.00    0.42    0.00    0.00    0.00   37.86
09시 44분 15초  all   48.27    0.00    2.96    5.29    0.00    0.33    0.00    0.00    0.00   43.14
09시 44분 16초  all   36.12    0.00    4.20    5.95    0.00    0.17    0.00    0.00    0.00   53.56
09시 44분 17초  all   35.39    0.00    2.84    2.67    0.00    0.13    0.00    0.00    0.00   58.97
09시 44분 18초  all   29.05    0.00    2.75    3.04    0.00    0.04    0.00    0.00    0.00   65.11
09시 44분 19초  all   28.16    0.00    1.41    0.00    0.00    0.08    0.00    0.00    0.00   70.34
09시 44분 20초  all   28.05    0.00    1.45    0.04    0.00    0.46    0.00    0.00    0.00   70.00
09시 44분 21초  all   26.65    0.00    1.29    0.92    0.00    0.21    0.00    0.00    0.00   70.93
09시 44분 22초  all   23.31    0.00    1.29    0.63    0.00    0.17    0.00    0.00    0.00   74.60
09시 44분 23초  all   19.50    0.00    1.42    1.12    0.00    0.21    0.00    0.00    0.00   77.75
09시 44분 24초  all   12.10    0.00    0.79   10.36    0.00    0.00    0.00    0.00    0.00   76.75
09시 44분 25초  all   10.47    0.00    0.98   16.72    0.00    0.00    0.00    0.00    0.00   71.83
09시 44분 26초  all    8.28    0.00    0.75   10.59    0.00    0.00    0.00    0.00    0.00   80.38
09시 44분 27초  all    6.56    0.00    2.63    8.82    0.00    0.00    0.00    0.00    0.00   81.98
09시 44분 28초  all    1.64    0.00    2.74    2.32    0.00    0.00    0.00    0.00    0.00   93.31
09시 44분 29초  all    0.92    0.00    0.71    0.04    0.00    0.00    0.00    0.00    0.00   98.32
09시 44분 30초  all    0.75    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   97.57
09시 44분 31초  all    0.54    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   97.57
09시 44분 32초  all    1.84    0.00    1.54    0.04    0.00    0.00    0.00    0.00    0.00   96.58
09시 44분 33초  all    2.01    0.00    2.30    0.00    0.00    0.04    0.00    0.00    0.00   95.64
Average:     all   25.63    0.00    2.58    2.76    0.00    0.16    0.00    0.00    0.00   68.87
